Localidad,Rubro,NomComercio,Direccion,Prefijo,NroTel,Dto,Provincia,ImgCooBUENOS AIRESp,ImgCoopLink,ImgComercio,Latitud,Longitud
BAHÍA BLANCA,ZAPATERÍA,ATILA,DONADO 23,291,4517681,10,BUENOS AIRES,,,CooperativaObrera,-38.7202965,-62.2647915
BAHÍA BLANCA,ZAPATERÍA,EVA,AV. ARIAS 2138,291,4532047,10,BUENOS AIRES,,,CooperativaObrera,-38.7539808,-62.2645182
25 DE MAYO,REGALERÍA,NOVEDADES MIREN,AV. SAN MARTÍN 544,299,154021329,10,BUENOS AIRES,,,CooperativaObrera,-35.4334775,-60.1679967
9 DE JULIO,DEPORTE,ARIMA SPORT,VEDIA 718,2317,521520,15,BUENOS AIRES,slider-coopeplus2,https://www.nuevacardsa.com.ar/estudiantil/Basica.aspx,CooperativaObrera,-35.446605,-60.8829278
9 DE JULIO,DEPORTE,SUPPORT FITNET(ex ZEUS),LA RIOJA 1308,2317,520841,15,BUENOS AIRES,,,,-35.4439072,-60.8845528
9 DE JULIO,INDUMENTARIA,ALFIS JEANS,LA RIOJA 1279,2317,427364,15,BUENOS AIRES,,,,-35.4439072,-60.8845528
9 DE JULIO,INDUMENTARIA,EL BAGUAL,MITRE 1550,2317,423173,15,BUENOS AIRES,,,,-35.4439072,-60.8845528
9 DE JULIO,INDUMENTARIA,FULL SHOP,AV. VEDIA 755,2317,613922,15,BUENOS AIRES,,,,-35.4458492,-60.8827414
9 DE JULIO,INDUMENTARIA,KEVINGSTON,CAV.ALLARI 1399,2317,523949,15,BUENOS AIRES,,,,-35.4439072,-60.8845528
9 DE JULIO,INDUMENTARIA,MARÍA LUJÁN,ROBBIO 1552,2317,427201,15,BUENOS AIRES,,,,-35.4439072,-60.8845528
9 DE JULIO,INDUMENTARIA,PASIONES,ROBBIO 1546,2317,523651,15,BUENOS AIRES,,,,-35.4439072,-60.8845528
9 DE JULIO,LIBRERÍA,CARTAGO LIBROS,TUCUMÁN 904,2317,419518,15,BUENOS AIRES,,,,-34.5961933,-58.3823287
9 DE JULIO,LIBRERÍA,DULCINEA,ROBBIO 1227,2317,426439,15,BUENOS AIRES,,,,-35.4439072,-60.8845528
9 DE JULIO,LIBRERÍA,LA LIBRERÍA,E. RÍOS 1165,2317,522612,15,BUENOS AIRES,,,,-35.4439072,-60.8845528
9 DE JULIO,LIBRERÍA,STAAC,MITRE 1640,2317,424468,15,BUENOS AIRES,,,,-35.4439072,-60.8845528
9 DE JULIO,LIBRERÍA,TUPAC,VEDIA 525,2317,522889,15,BUENOS AIRES,,,,-35.4484865,-60.8809552
9 DE JULIO,ÓPTICA,ÓPTICA DEL SOL,MITRE 1434,2317,432423,15,BUENOS AIRES,,,,-35.4439072,-60.8845528
9 DE JULIO,ÓPTICA,ÓPTICA REY,LA RIOJA 1075,2317,520055,15,BUENOS AIRES,,,,-35.4439072,-60.8845528
9 DE JULIO,ÓPTICA,PRADELLI,ROBBIO 813,2317,524388,15,BUENOS AIRES,,,,-35.4439072,-60.8845528
ALLEN,INDUMENTARIA,BEAUTIFUL SIN LÍMITES,SAN MARTÍN 412,298,154403002,15,RÍO NEGRO,slider-coopeplus3,https://www.tarjetabbps.com.ar/,CooperativaObrera,-38.9792952,-67.8237307
ALLEN,INDUMENTARIA,BRUNO SPORT´S,AV. ROCA 6,298,4450068,15,RÍO NEGRO,,,,-38.9769908,-67.8295587
ALLEN,INDUMENTARIA,DAN-SIL,TOMÁS ORELL 252,298,4450021,15,RÍO NEGRO,,,,-38.9778831,-67.8260451
ALLEN,INDUMENTARIA,FASHION LOVER,TOMÁS ORELL 269,298,154643858,15,RÍO NEGRO,,,,-38.9782292,-67.8258266
ALLEN,INDUMENTARIA,KOKOMO,AV. ROCA 455,298,4452076,15,RÍO NEGRO,,,,-38.9815183,-67.831014
ALLEN,INDUMENTARIA,LOREDANA,AV. ROCA 301,298,4451827,15,RÍO NEGRO,,,,-38.9797992,-67.830501
ALLEN,INDUMENTARIA,LUZ SPORT,TOMÁS ORELL 279,298,4453027,15,RÍO NEGRO,,,,-38.9782498,-67.8256762
ALLEN,INDUMENTARIA,PANGUI,AV. ROCA 208,298,4450167,15,RÍO NEGRO,,,,-38.9788018,-67.8300359
ALLEN,INDUMENTARIA,SAN LUIS OFERTAS,TOMÁS ORELL 272,298,4452490,15,RÍO NEGRO,,,,-38.9778704,-67.8257512
ALLEN,INDUMENTARIA,TODO DEPORTE,AV. ROCA 107,298,4451865,15,RÍO NEGRO,,,,-38.9775402,-67.8301245
ALLEN,INDUMENTARIA,VALE MODAS,TOMÁS ORELL 49,298,154338020,15,RÍO NEGRO,,,,-38.9778499,-67.8291536
ALLEN,JOYERÍA Y RELOJERÍA,JOYERÍA Y RELOJERÍA AMATISTA,TOMÁS ORELL 290,298,4450186,15,RÍO NEGRO,,,,-38.9780045,-67.8251944
ALLEN,LIBRERÍA,LIBRERÍA CASA SÁNCHEZ,TOMÁS ORELL 124,298,4453514,15,RÍO NEGRO,,,,-38.9776871,-67.8280405
ALLEN,LIBRERÍA,MUNDO ESCOLAR,AV. ROCA 258,298,154638114,15,RÍO NEGRO,,,,-38.9793542,-67.8300825
ALLEN,ÓPTICA,ÓPTICA JAVIER PARODI,AV. ROCA 59,298,4451073,15,RÍO NEGRO,,,,-38.9772515,-67.8300774
ALLEN,PELUQUERÍA,JUBELLA HAIR,INTENDENTE MARIANI 382,298,476013,15,RÍO NEGRO,,,,-38.9770461,-67.8354384
ALUMINE,INDUMENTARIA,MIS AMORES BOUTIQUE,JULIA DÍAZ 7,2942,15693430,15,Neuquén,,,,-39.2400016,-70.924013
AÑELO,ÓPTICA,ÓPTICA WOLF CENTER-AÑELO,CALLE Nº 1 - MZA. 39 - LOTE 5,299,154088877,15,Neuquén,,,,-38.3516044,-68.7874869
ANDACOLLO,INDUMENTARIA,TENDENCIAS,AV. CORDILLERA DEL VIENTO 250,2942,663362,15,Neuquén,,,,-37.1797391,-70.6700266
AZUL,DEPORTE,EL BUSCAPIÉ,SAN MARTÍN 540,2281,432002,15,BUENOS AIRES,,,,-36.7790587,-59.8620196
AZUL,DEPORTE,PUNTO MODA,MORENO 648,2281,314174,15,BUENOS AIRES,,,,-36.7792338,-59.8618239
AZUL,DEPORTE,AMSTERDAM,SAN MARTÍN 536,2281,657100,15,BUENOS AIRES,,,,-36.7790525,-59.8620288
AZUL,INDUMENTARIA,ALFIS JEANS,H. YRIGOYEN 579,2494,634262,15,BUENOS AIRES,,,,-36.7791057,-59.860707
AZUL,INDUMENTARIA,CASA TOSCANO,H. YRIGOYEN 592,2281,426535,15,BUENOS AIRES,,,,-36.7791865,-59.8603472
AZUL,INDUMENTARIA,CATALDO HOMBRES,H. YRIGOYEN 516,2281,435483,15,BUENOS AIRES,,,,-36.7782144,-59.8615946
AZUL,INDUMENTARIA,CHE BERLÍN,SAN MARTÍN 590,2281,633996,15,BUENOS AIRES,,,,-36.7799854,-59.8610903
AZUL,INDUMENTARIA,DANIEL BASIC,SAN MARTÍN 512,2281,428033,15,BUENOS AIRES,,,,-36.7788354,-59.8624317
AZUL,INDUMENTARIA,EL GALPÓN,SAN MARTÍN 596,2281,585385,15,BUENOS AIRES,,,,-36.7798539,-59.8609759
AZUL,INDUMENTARIA,HAMACA,AMADO DÍA 379,2281,479534,15,BUENOS AIRES,,,,-36.7785244,-59.8495547
AZUL,INDUMENTARIA,HAMSTER´S,H. YRIGOYEN 629,2281,426865,15,BUENOS AIRES,,,,-36.7799154,-59.8596641
AZUL,INDUMENTARIA,IS,MORENO 655,,,15,BUENOS AIRES,,,,-36.7795869,-59.8618075
AZUL,INDUMENTARIA,JOSEFINA TRONCOSO,BOLÍVAR 599,2281,427029,15,BUENOS AIRES,,,,-36.7807061,-59.8619278
AZUL,INDUMENTARIA,KEVINGSTON,SAN MARTÍN 399,2281,433502,15,BUENOS AIRES,,,,-36.7774986,-59.8644548
AZUL,INDUMENTARIA,LA BAHÍA,MORENO 693,2281,430523,15,BUENOS AIRES,,,,-36.7799757,-59.8623324
AZUL,INDUMENTARIA,LA GOLONDRINA,SAN MARTÍN 951,2281,425018,15,BUENOS AIRES,,,,-36.7846072,-59.8553912
